results: Entity,Day,Count,Momentum,Positive,Negative
33312449,2009-11-02,571,0.444384,0.0819847,0.032651
33312449,2009-11-03,439,0.390469,0.0575228,0.0260578
33312449,2009-11-04,823,0.43054,0.0638355,0.0671235
33312449,2009-11-05,564,0.392578,0.0603052,0.0525852
33312449,2009-11-06,376,0.419947,0.063161,0.0227914
33312449,2009-11-07,104,0.409799,0.0802661,0.0
33312449,2009-11-08,52,0.299164,0.0820849,0.0313914
33312449,2009-11-09,486,0.333579,0.0474811,0.0255968
33312449,2009-11-10,367,0.410644,0.0552228,0.0226444
33312449,2009-11-11,611,0.42577,0.0694417,0.0140494
33312449,2009-11-12,604,0.432205,0.0620601,0.0195371
33312449,2009-11-13,355,0.401997,0.0513588,0.0134755
33312449,2009-11-14,53,0.343283,0.043873,0.027296
33312449,2009-11-15,122,0.365142,0.0416376,0.0174769
33312449,2009-11-16,433,0.410642,0.0485733,0.0136899
33312449,2009-11-17,888,0.645634,0.0539366,0.00757155
33312449,2009-11-18,995,0.672848,0.0430634,0.0133049
33312449,2009-11-19,608,0.511444,0.0474839,0.0127478
33312449,2009-11-20,609,0.478076,0.0603812,0.0124603
33312449,2009-11-21,117,0.487052,0.0670678,0.00686384
33312449,2009-11-22,143,0.377578,0.0817633,0.00974454
33312449,2009-11-23,745,0.415046,0.0553002,0.00920813
33312449,2009-11-24,517,0.41172,0.059267,0.02646
33312449,2009-11-25,489,0.399495,0.0441943,0.0330812
33312449,2009-11-26,202,0.43756,0.0625877,0.0506618
33312449,2009-11-27,98,0.339986,0.0432436,0.0601018
33312449,2009-11-28,71,0.473874,0.0776331,0.0414413
33312449,2009-11-29,64,0.305106,0.0435761,0.0140818
33312449,2009-11-30,275,0.333672,0.0440839,0.0159869
33312449,2009-12-01,489,0.38906,0.053096,0.0363448
33312449,2009-12-02,491,0.405672,0.0663924,0.0184506
33312449,2009-12-03,402,0.348511,0.0574797,0.0338104
33312449,2009-12-04,613,0.415675,0.0571063,0.0283614
33312449,2009-12-05,137,0.513772,0.0583891,0.0148536
